human,rat
AMHR2,AMHR2
AMPD1,AMPD1
AMPD2,AMPD2
AMPD3,AMPD3
AMPH,AMPH
BIN1,BIN1
AMT,AMT
ANG,ANG
ANGPT1,ANGPT1
ANGPT2,ANGPT2
ANK1,ANK1
ANK2,ANK2
ANK3,ANK3
ANPEP,ANPEP
SLC25A4,SLC25A4
SLC25A5,SLC25A5
ANXA1,ANXA1
ANXA2,ANXA2
ANXA3,ANXA3
ANXA4,ANXA4
ANXA5,ANXA5
ANXA6,ANXA6
ANXA7,ANXA7
ANXA11,ANXA11
ANXA13,ANXA13
AOAH,AOAH
AOX1,AOX1
APAF1,APAF1
NUDT2,NUDT2
APOF,APOF
APBA1,APBA1
APBA2,APBA2
APBB1,APBB1
APBB2,APBB2
APC,APC
APCS,APCS
AIRE,AIRE
APEH,APEH
APEX1,APEX1
BIRC2,BIRC2
BIRC3,BIRC3
XIAP,XIAP
BIRC5,BIRC5
APLP1,APLP1
APLP2,APLP2
APOA1,APOA1
APOA2,APOA2
APOA4,APOA4
APOB,APOB
APOBEC1,APOBEC1
APOC1,APOC1
AQP8,AQP8
APOC2,APOC2
APOC3,APOC3
APOC4,APOC4
APOD,APOD
APOE,APOE
APOH,APOH
APP,APP
APRT,APRT
FAS,FAS
FASLG,FASLG
SHROOM2,SHROOM2
AQP1,AQP1
AQP3,AQP3
AQP4,AQP4
AQP6,AQP6
AQP7,AQP7
AQP9,AQP9
AR,AR
ABCC6,ABCC6
ARAF,ARAF
ARCN1,ARCN1
TRIM23,TRIM23
AREG,AREG
ARF1,ARF1
ARF3,ARF3
ARF4,ARF4
ARL4D,ARL4D
ARF5,ARF5
ARF6,ARF6
ARG1,ARG1
ARG2,ARG2
RHOA,RHOA
RHOB,RHOB
RHOC,RHOC
RND3,RND3
RHOG,RHOG
ARHGAP1,ARHGAP1
ARHGAP4,ARHGAP4
ARHGAP5,ARHGAP5
ARHGAP6,ARHGAP6
ARHGDIA,ARHGDIA
ARHGDIB,ARHGDIB
ARHGDIG,ARHGDIG
RHOH,RHOH
ARL1,ARL1
PHOX2A,PHOX2A
ARL2,ARL2
ARL3,ARL3
ARNT,ARNT
BMAL1,BMAL1
ARR3,ARR3
ARRB1,ARRB1
ARRB2,ARRB2
ARSA,ARSA
ARSB,ARSB
STS,STS
ART1,ART1
ART3,ART3
ART4,ART4
ARVCF,ARVCF
ASAH1,ASAH1
ASCL1,ASCL1
ASCL2,ASCL2
ASGR1,ASGR1
ASGR2,ASGR2
ASIP,ASIP
ASL,ASL
ASMT,ASMT
GET3,GET3
ASNS,ASNS
ASPA,ASPA
ASPH,ASPH
ASS1,ASS1
ASTN1,ASTN1
SERPINC1,SERPINC1
ZFHX3,ZFHX3
ATF1,ATF1
ATF3,ATF3
ATF4,ATF4
ATIC,ATIC
ATM,ATM
RERE,RERE
ATOH1,ATOH1
ATOX1,ATOX1
ATP1A1,ATP1A1
ATP1A2,ATP1A2
ATP1A3,ATP1A3
ATP12A,ATP12A
ATP1A4,ATP1A4
ATP1B1,ATP1B1
ATP1B2,ATP1B2
ATP1B3,ATP1B3
FXYD2,FXYD2
ATP2A1,ATP2A1
ATP2A2,ATP2A2
ATP2A3,ATP2A3
ATP2B1,ATP2B1
ATP2B2,ATP2B2
ATP2B3,ATP2B3
ATP2B4,ATP2B4
ATP4A,ATP4A
ATP4B,ATP4B
ATP5F1A,ATP5F1A
ALDH7A1,ALDH7A1
ATP5F1B,ATP5F1B
ATP5F1C,ATP5F1C
ATP5F1D,ATP5F1D
ATP5F1E,ATP5F1E
ATP5PB,ATP5PB
ATP5MC1,ATP5MC1
ATP5MC2,ATP5MC2
ATP5MC3,ATP5MC3
ATP5ME,ATP5ME
ATP5PF,ATP5PF
ATP6V1A,ATP6V1A
ATP6V1B1,ATP6V1B1
ATP6V1B2,ATP6V1B2
ATP6V0C,ATP6V0C
ATP6V1C1,ATP6V1C1
ATP6V1E1,ATP6V1E1
ATP6V0B,ATP6V0B
ATP6V1G2,ATP6V1G2
ATP6V0A1,ATP6V0A1
ATP6AP1,ATP6AP1
ATP7A,ATP7A
ATP5PO,ATP5PO
ATP7B,ATP7B
ATR,ATR
ATRX,ATRX
KIF1A,KIF1A
AUH,AUH
AUP1,AUP1
AVP,AVP
AVPR1A,AVPR1A
AVPR1B,AVPR1B
AVPR2,AVPR2
AXL,AXL
AZGP1,AZGP1
B2M,B2M
BAAT,BAAT
BACH1,BACH1
BAD,BAD
BAG1,BAG1
ADGRB1,ADGRB1
ADGRB2,ADGRB2
ADGRB3,ADGRB3
BAK1,BAK1
NKX3-2,NKX3-2
BARD1,BARD1
BAX,BAX
BBS1,BBS1
BBS2,BBS2
BBS4,BBS4
BCAT1,BCAT1
BCAT2,BCAT2
BCHE,BCHE
BCKDHA,BCKDHA
BCKDHB,BCKDHB
CCND1,CCND1
BCL2,BCL2
BCL2A1,BCL2A1
BCL2L1,BCL2L1
BCL2L2,BCL2L2
BCL3,BCL3
BCL6,BCL6
BCL7A,BCL7A
BCL9,BCL9
TNFRSF17,TNFRSF17
HCN2,HCN2
OPN1SW,OPN1SW
BCR,BCR
BCS1L,BCS1L
BDH1,BDH1
BDKRB1,BDKRB1
BDKRB2,BDKRB2
BDNF,BDNF
CFB,CFB
BFSP1,BFSP1
BGLAP,BGLAP
BGN,BGN
CEACAM1,CEACAM1
BICD1,BICD1
BID,BID
BIK,BIK
PRDM1,PRDM1
BLK,BLK
BLM,BLM
BLMH,BLMH
CXCR5,CXCR5
BLVRA,BLVRA
BLVRB,BLVRB
BNC1,BNC1
BMI1,BMI1
BMP1,BMP1
BMP2,BMP2
BMP3,BMP3
BMP4,BMP4
BMP5,BMP5
BMP6,BMP6
BMP7,BMP7
BMPR1A,BMPR1A
BMPR1B,BMPR1B
BMPR2,BMPR2
BMX,BMX
POLR3D,POLR3D
BNIP1,BNIP1
BNIP2,BNIP2
BNIP3,BNIP3
BNIP3L,BNIP3L
BOK,BOK
DST,DST
FOXL2,FOXL2
BPGM,BPGM
BPHL,BPHL
BPI,BPI
BRCA1,BRCA1
BRAF,BRAF
BRCA2,BRCA2
BRDT,BRDT
ZFP36L1,ZFP36L1
ZFP36L2,ZFP36L2
BRS3,BRS3
BSG,BSG
BST1,BST1
BST2,BST2
BTC,BTC
BTD,BTD
KLF9,KLF9
KLF5,KLF5
BTF3,BTF3
BTG1,BTG1
BTK,BTK
BTN1A1,BTN1A1
BUB1,BUB1
BUB1B,BUB1B
BYSL,BYSL
TSPO,TSPO
C1QBP,C1QBP
SERPING1,SERPING1
C1QA,C1QA
C1QB,C1QB
C1QC,C1QC
C1R,C1R
C1S,C1S
C2,C2
C3,C3
C3AR1,C3AR1
C4BPA,C4BPA
C4BPB,C4BPB
CAPN5,CAPN5
C5,C5
C5AR1,C5AR1
C6,C6
C7,C7
C8A,C8A
C8B,C8B
C8G,C8G
OSGIN2,OSGIN2
C9,C9
VPS51,VPS51
MRPL49,MRPL49
ZNHIT2,ZNHIT2
MPPED2,MPPED2
MYRF,MYRF
TMEM258,TMEM258
DAGLA,DAGLA
FMNL1,FMNL1
LDLRAD4,LDLRAD4
PTTG1IP,PTTG1IP
CFAP410,CFAP410
TMEM50B,TMEM50B
MPPED1,MPPED1
CA1,CA1
CA2,CA2
CA3,CA3
CA4,CA4
CA5A,CA5A
CA6,CA6
CA7,CA7
CA8,CA8
CA9,CA9
CA11,CA11
CA12,CA12
CACNA1A,CACNA1A
CACNA1B,CACNA1B
CACNA1C,CACNA1C
CACNA1D,CACNA1D
CACNA1E,CACNA1E
CACNA1F,CACNA1F
CACNA1S,CACNA1S
DDR1,DDR1
CACNA2D1,CACNA2D1
CACNB1,CACNB1
CACNB2,CACNB2
CACNB3,CACNB3
CACNB4,CACNB4
CACNG1,CACNG1
SLC25A20,SLC25A20
CAD,CAD
CALB1,CALB1
CALB2,CALB2
S100G,S100G
CALCA,CALCA
CALCB,CALCB
CALCR,CALCR
CALD1,CALD1
CALM1,CALM1
CALM2,CALM2
CALM3,CALM3
CALML3,CALML3
CALR,CALR
CALU,CALU
CAMK4,CAMK4
CAMK2A,CAMK2A
CAMK2B,CAMK2B
CAMK2D,CAMK2D
CAMK2G,CAMK2G
CAMLG,CAMLG
CAMP,CAMP
CANX,CANX
CAPG,CAPG
CAPN1,CAPN1
CAPN2,CAPN2
CAPN3,CAPN3
CAPNS1,CAPNS1
CAPN6,CAPN6
CAPS,CAPS
CAPZA1,CAPZA1
CAPZA2,CAPZA2
CAST,CAST
CAPZB,CAPZB
CARS1,CARS1
CASP1,CASP1
CASP2,CASP2
CASP3,CASP3
CASP4,CASP4
CASP6,CASP6
CASP7,CASP7
CASP8,CASP8
CASP9,CASP9
CASQ1,CASQ1
CASQ2,CASQ2
CASR,CASR
CAT,CAT
CAV1,CAV1
CAV2,CAV2
CAV3,CAV3
RUNX2,RUNX2
RUNX1,RUNX1
RUNX1T1,RUNX1T1
CBFA2T3,CBFA2T3
RUNX3,RUNX3
CBFB,CBFB
SERPINA6,SERPINA6
CBL,CBL
CBLB,CBLB
CBLN1,CBLN1
SERPINH1,SERPINH1
CBR1,CBR1
CBR3,CBR3
CBS,CBS
CCIN,CCIN
KYAT1,KYAT1
CCK,CCK
CCKAR,CCKAR
CCKBR,CCKBR
KRIT1,KRIT1
CCNA2,CCNA2
CCNB1,CCNB1
CCNC,CCNC
CCND2,CCND2
CCND3,CCND3
CCNE1,CCNE1
CCNF,CCNF
CCNG1,CCNG1
CCNG2,CCNG2
CCNH,CCNH
CCNT1,CCNT1
CCNT2,CCNT2
CCT6A,CCT6A
CD2,CD2
CD3D,CD3D
CD3E,CD3E
CD3G,CD3G
CD247,CD247
CD4,CD4
CD5,CD5
CD5L,CD5L
CD6,CD6
CD7,CD7
CD8A,CD8A
CD8B,CD8B
CD9,CD9
CD14,CD14
CD19,CD19
MS4A1,MS4A1
MS4A3,MS4A3
CD22,CD22
CD27,CD27
CD28,CD28
CD80,CD80
CD86,CD86
TNFRSF8,TNFRSF8
TNFSF8,TNFSF8
CD33,CD33
CD34,CD34
SCARB1,SCARB1
SCARB2,SCARB2
CD37,CD37
CD38,CD38
ENTPD1,ENTPD1
ENTPD2,ENTPD2
ENTPD6,ENTPD6
ENTPD3,ENTPD3
ENTPD5,ENTPD5
CD40,CD40
CD40LG,CD40LG
CD44,CD44
CD47,CD47
CD48,CD48
CD53,CD53
CD59,CD59B
CD63,CD63
CD68,CD68
CD69,CD69
CD70,CD70
CD72,CD72
CD74,CD74
CD79A,CD79A
CD79B,CD79B
CD81,CD81
ADGRE5,ADGRE5
CD151,CD151
CDA,CDA
CDK1,CDK1
CDK11B,CDK11B
LRBA,LRBA
CDC5L,CDC5L
SEPTIN7,SEPTIN7
CDC6,CDC6
CDC20,CDC20
CDC25A,CDC25A
CDC25B,CDC25B
CDC25C,CDC25C
CDC27,CDC27
CDC34,CDC34
CDC42,CDC42
CDH1,CDH1
CDH2,CDH2
CDH3,CDH3
CDH4,CDH4
CDH5,CDH5
CDH6,CDH6
CDH7,CDH7
CDH8,CDH8
CDH9,CDH9
CDH11,CDH11
CDH12,CDH12
CDH13,CDH13
CDH15,CDH15
CDH16,CDH16
CDH17,CDH17
CDH18,CDH18
CDK2,CDK2
CDK4,CDK4
CDK5,CDK5
CDK6,CDK6
CDK7,CDK7
CDK8,CDK8
CDK9,CDK9
CDKN1A,CDKN1A
CDKN1B,CDKN1B
CDKN1C,CDKN1C
CDKN2B,CDKN2B
CDKN2C,CDKN2C
CDKN2D,CDKN2D
CDKN3,CDKN3
CDO1,CDO1
CDR2,CDR2
CDS1,CDS1
CDSN,CDSN
CD52,CD52
CDX1,CDX1
CDX2,CDX2
CDX4,CDX4
CLGN,CLGN
CEBPA,CEBPA
CEBPB,CEBPB
CEBPD,CEBPD
CEBPE,CEBPE
CEBPG,CEBPG
CEL,CEL
CENPA,CENPA
CENPB,CENPB
CENPC,CENPC
CENPE,CENPE
CENPF,CENPF
CETN1,CETN1
CETN2,CETN2
CETN3,CETN3
CFL1,CFL1
CFL2,CFL2
CTSC,CTSC
CFTR,CFTR
CGA,CGA
CHAD,CHAD
RCBTB2,RCBTB2
CHAT,CHAT
RCC1,RCC1
CHD1,CHD1
CHD2,CHD2
CHD3,CHD3
CHD4,CHD4
CHEK1,CHEK1
FOXN3,FOXN3
CHGA,CHGA
CHGB,CHGB
CHI3L1,CHI3L1
CHIT1,CHIT1
CHKA,CHKA
CHKB,CHKB
CHM,CHM
CHML,CHML
CHN1,CHN1
CHN2,CHN2
CHRM1,CHRM1
CHRM2,CHRM2
LYST,LYST
CHRM3,CHRM3
CHRM4,CHRM4
CHRM5,CHRM5
CHRNA1,CHRNA1
CHRNA2,CHRNA2
CHRNA3,CHRNA3
CHRNA4,CHRNA4
CHRNA5,CHRNA5
CHRNA7,CHRNA7
CHRNB1,CHRNB1
CHRNB2,CHRNB2
CHRNB3,CHRNB3
CHRNB4,CHRNB4
CHRND,CHRND
CHRNE,CHRNE
CHRNG,CHRNG
CHUK,CHUK
CIDEA,CIDEA
CKB,CKB
CIRBP,CIRBP
CISH,CISH
TBCB,TBCB
CKM,CKM
CKMT2,CKMT2
ERCC8,ERCC8
CKS1B,CKS1B
CKS2,CKS2
AP2M1,AP2M1
AP1S1,AP1S1
AP2S1,AP2S1
AP3S1,AP3S1
CLCA1,CLCA1
CLCN1,CLCN1
CLCN2,CLCN2
CLCN3,CLCN3
CLCN4,CLCN4
CLCN5,CLCN5
CLCN6,CLCN6
CLCN7,CLCN7
CLU,CLU
CLIC1,CLIC1
CLIC2,CLIC2
CLK1,CLK1
CLK2,CLK2
CLK3,CLK3
TPP1,TPP1
CLN3,CLN3
CLN5,CLN5
CLNS1A,CLNS1A
CLPS,CLPS
CLPTM1,CLPTM1
CLTA,CLTA
CLTB,CLTB
CLTC,CLTC
CMA1,CMA1
CCR1,CCR1
CCR3,CCR3
CCR4,CCR4
CCR6,CCR6
CCR7,CCR7
CCR8,CCR8
ACKR2,ACKR2
CMKLR1,CMKLR1
LTB4R,LTB4R
ABCC2,ABCC2
CNGB1,CNGB1
CNGA1,CNGA1
CNGA2,CNGA2
CNGA3,CNGA3
CNGA4,CNGA4
PLK3,PLK3
CNN1,CNN1
CNN2,CNN2
CNN3,CNN3
CNP,CNP
CNR1,CNR1
CNR2,CNR2
CNTF,CNTF
CNTFR,CNTFR
CNTN1,CNTN1
COL1A1,COL1A1
COL1A2,COL1A2
COL2A1,COL2A1
COL3A1,COL3A1
COL4A1,COL4A1
COL4A2,COL4A2
COL4A3,COL4A3
COL4A4,COL4A4
COL4A5,COL4A5
COL4A6,COL4A6
COL5A1,COL5A1
COL5A2,COL5A2
COL6A1,COL6A1
COL6A2,COL6A2
COL6A3,COL6A3
COL7A1,COL7A1
COL8A1,COL8A1
COL8A2,COL8A2
COL9A1,COL9A1
COL9A2,COL9A2
COL9A3,COL9A3
COL10A1,COL10A1
COL11A1,COL11A1
COL11A2,COL11A2
COL12A1,COL12A1
COL13A1,COL13A1
COL15A1,COL15A1
COL16A1,COL16A1
COL17A1,COL17A1
COL19A1,COL19A1
COMP,COMP
COMT,COMT
COPA,COPA
COPB1,COPB1
KLF6,KLF6
SLC31A1,SLC31A1
SLC31A2,SLC31A2
CORT,CORT
MAP3K8,MAP3K8
COX4I1,COX4I1
COX5B,COX5B
COX6A1,COX6A1
COX6A2,COX6A2
COX6B1,COX6B1
COX6C,COX6C
COX7A1,COX7A1
COX7A2,COX7A2
COX7B,COX7B
COX7C,COX7C
COX8A,COX8A
COX10,COX10
COX11,COX11
COX15,COX15
CP,CP
CPA1,CPA1
CPA2,CPA2
CPA3,CPA3
CPB1,CPB1
CPB2,CPB2
CPD,CPD
CPE,CPE
CLDN4,CLDN4
CLDN3,CLDN3
CLDN7,CLDN7
CPM,CPM
CPN1,CPN1
CPN2,CPN2
CPOX,CPOX
CPS1,CPS1
CPT1A,CPT1A
CPT1B,CPT1B
CPT2,CPT2
CR1L,CR1L
CR2,CR2
CRABP1,CRABP1
CRABP2,CRABP2
CRAT,CRAT
CREB1,CREB1
ATF2,ATF2
CREBBP,CREBBP
ATF6B,ATF6B
CREBL2,CREBL2
CREM,CREM
CRH,CRH
CRHBP,CRHBP
CRHR1,CRHR1
CRHR2,CRHR2
CRIP1,CRIP1
CRIP2,CRIP2
CRK,CRK
CRKL,CRKL
CRMP1,CRMP1
HAPLN1,HAPLN1
CRX,CRX
CRY1,CRY1
CRY2,CRY2
CRYAA,CRYAA
CRYAB,CRYAB
CRYBA1,CRYBA1
CRYBA2,CRYBA2
CRYBA4,CRYBA4
CRYBB1,CRYBB1
CRYBB2,CRYBB2
CRYBB3,CRYBB3
CRYGA,CRYGA
CRYGB,CRYGB
CRYGC,CRYGC
CRYGD,CRYGD
CRYGS,CRYGS
CRYM,CRYM
CRYZ,CRYZ
CS,CS
MAPK14,MAPK14
CSE1L,CSE1L
CSF1,CSF1
CSF1R,CSF1R
CSF2,CSF2
CSF2RA,CSF2RA
CSF2RB,CSF2RB
CSF3,CSF3
CSF3R,CSF3R
CSK,CSK
CSN1S1,CSN1S1
CSN2,CSN2
CSN3,CSN3
CSNK1A1,CSNK1A1
CSNK1D,CSNK1D
CSNK1E,CSNK1E
CSNK1G2,CSNK1G2
CSNK1G3,CSNK1G3
CSNK2A1,CSNK2A1
CSNK2A2,CSNK2A2
CSNK2B,CSNK2B
VCAN,VCAN
NCAN,NCAN
CSPG4,CSPG4
CSRP1,CSRP1
CSRP2,CSRP2
SLC25A10,SLC25A10
CST6,CST6
CSTA,CSTA
CSTB,CSTB
CSTF1,CSTF1
CSTF2,CSTF2
CSTF3,CSTF3
NKX2-5,NKX2-5
CTBS,CTBS
CTBP1,CTBP1
CTBP2,CTBP2
CTF1,CTF1
CCN2,CCN2
CTH,CTH
CTLA4,CTLA4
CTNNA1,CTNNA1
CTNNA2,CTNNA2
CTNS,CTNS
CTNNB1,CTNNB1
CTNND1,CTNND1
CTNND2,CTNND2
CTPS1,CTPS1
CTRL,CTRL
CTSB,CTSB
CTSD,CTSD
CTSE,CTSE
CTSG,CTSG
CTSH,CTSH
CTSK,CTSK
CTSO,CTSO
CTSS,CTSS
CTSW,CTSW
CTSZ,CTSZ
CUX1,CUX1
CX3CR1,CX3CR1
CXADR,CXADR
TEX28,TEX28
CYB5A,CYB5A
CYB561,CYB561
CYBA,CYBA
CYBB,CYBB
CYC1,CYC1
CYLC1,CYLC1
CYLC2,CYLC2
CYLD,CYLD
CYP1A1,CYP1A1
CYP1A2,CYP1A2
CYP1B1,CYP1B1
CYP2E1,CYP2E1
CYP2F1,CYP2F4
CYP4B1,CYP4B1
CYP7A1,CYP7A1
CYP8B1,CYP8B1
CYP11A1,CYP11A1
CYP17A1,CYP17A1
CYP19A1,CYP19A1
CYP21A2,CYP21A1
CYP24A1,CYP24A1
CYP26A1,CYP26A1
CYP27A1,CYP27A1
CYP27B1,CYP27B1
CYP51A1,CYP51
DAB1,DAB1
DAB2,DAB2
DACH1,DACH1
DAD1,DAD1
CD55,CD55
DAG1,DAG1
DGKA,DGKA
DGKB,DGKB
DGKG,DGKG
DGKQ,DGKQ
DAO,DAO
DAP,DAP
DAPK1,DAPK1
DAPK3,DAPK3
DARS1,DARS1
DAXX,DAXX
DAZL,DAZL
BRINP1,BRINP1
DBH,DBH
DBI,DBI
DBN1,DBN1
DBP,DBP
DBT,DBT
DCC,DCC
ECI1,ECI1
DCK,DCK
DCN,DCN
DCTD,DCTD
ACE,ACE
DCT,DCT
DCTN1,DCTN1
DCX,DCX
DDB1,DDB1
DDB2,DDB2
DDC,DDC
GADD45A,GADD45A
DDIT3,DDIT3
DDOST,DDOST
DDT,DDT
DDX1,DDX1
DDX3X,DDX3X
DDX5,DDX5
DDX6,DDX6
DMXL1,DMXL1
DHX8,DHX8
DHX9,DHX9
DDX10,DDX10
DDX11,DDX11
DHX15,DHX15
DECR1,DECR1
DEFB1,DEFB1
DES,DES
CFD,CFD
DFFA,DFFA
DFFB,DFFB
TIMM8A,TIMM8A1
GSDME,GSDME
COCH,COCH
DGUOK,DGUOK
DHCR7,DHCR7
DHCR24,DHCR24
DHFR,DHFR
DHODH,DHODH
DHPS,DHPS
CYB5R3,CYB5R3
NQO1,NQO1
DIAPH1,DIAPH1
DIAPH2,DIAPH2
SEPTIN1,SEPTIN1
DIO1,DIO1
DIO2,DIO2
DIO3,DIO3
DKC1,DKC1
DLAT,DLAT
DLD,DLD
DLG1,DLG1
DLG2,DLG2
DLG3,DLG3
DLG4,DLG4
DLST,DLST
DLX1,DLX1
DLX2,DLX2
DLX3,DLX3
DLX4,DLX4
DLX5,DLX5
DLX6,DLX6
DMBT1,DMBT1
DMD,DMD
SARDH,SARDH
DMP1,DMP1
DNM1,DNM1
DMPK,DMPK
DMRT1,DMRT1
DMWD,DMWD
DNA2,DNA2
DNAH5,DNAH5
DNAH6,DNAH6
DNAH8,DNAH8
DNAH9,DNAH9
DNASE1,DNASE1
DNASE1L1,DNASE1L1
DNASE1L2,DNASE1L2
DNASE1L3,DNASE1L3
DNASE2,DNASE2
DYNC1H1,DYNC1H1
DYNC1I1,DYNC1I1
DYNC1I2,DYNC1I2
DYNC1LI2,DYNC1LI2
DNM2,DNM2
DNMT1,DNMT1
TRDMT1,TRDMT1
DNMT3A,DNMT3A
DNMT3B,DNMT3B
DNTT,DNTT
DOCK1,DOCK1
DOCK2,DOCK2
DOCK3,DOCK3
DOK1,DOK1
DXO,DXO
DPAGT1,DPAGT1
DPEP1,DPEP1
DPH1,DPH1
DPH2,DPH2
DPP4,DPP4
DPP6,DPP6
DPT,DPT
DPYD,DPYD
DPYS,DPYS
DPYSL2,DPYSL2
DPYSL3,DPYSL3
DR1,DR1
SLC26A3,SLC26A3
DRD1,DRD1
DRD2,DRD2
DRD3,DRD3
DRD4,DRD4
DRD5,DRD5
DRG2,DRG2
ARID3A,ARID3A
DRP2,DRP2
ATN1,ATN1
DSC1,DSC1
DSC2,DSC2
DSC3,DSC3
DSCAM,DSCAM
RCAN1,RCAN1
DSG1,DSG1
DSG2,DSG2
DSG3,DSG3
TSC22D3,TSC22D3
DSP,DSP
EPYC,EPYC
DSPP,DSPP
SLC26A2,SLC26A2
DTNA,DTNA
DTNB,DTNB
HBEGF,HBEGF
DTX1,DTX1
DTYMK,DTYMK
ECM2,ECM2
DUSP1,DUSP1
DUSP2,DUSP2
DUSP3,DUSP3
DUSP4,DUSP4
DUSP5,DUSP5
DUSP6,DUSP6
DUSP7,DUSP7
DUSP8,DUSP8
DUSP9,DUSP9
DUT,DUT
DVL1,DVL1
DVL2,DVL2
DVL3,DVL3
DYRK1A,DYRK1A
TOR1A,TOR1A
E2F1,E2F1
E2F2,E2F2
E2F3,E2F3
E2F4,E2F4
E2F6,E2F6
E4F1,E4F1
EBF1,EBF1
GPR183,GPR183
ECE1,ECE1
TYMP,TYMP
ECH1,ECH1
ECHS1,ECHS1
ECM1,ECM1
ECT2,ECT2
EDA,EDA
S1PR1,S1PR1
LPAR1,LPAR1
S1PR3,S1PR3
EDN1,EDN1
EDN2,EDN2
EDN3,EDN3
EDNRA,EDNRA
EDNRB,EDNRB
PHC1,PHC1
PHC2,PHC2
EEF1A1,EEF1A1
EEF1A2,EEF1A2
EEF1B2,EEF1B2
EEF1D,EEF1D
EEF1G,EEF1G
EEF2,EEF2
EIF2D,EIF2D
EFNA1,EFNA1
EFNA2,EFNA2
EFNA3,EFNA3
EFNA4,EFNA4
EFNA5,EFNA5
EFNB1,EFNB1
EFNB2,EFNB2
EFNB3,EFNB3
EGF,EGF
CELSR3,CELSR3
CELSR2,CELSR2
MEGF6,MEGF6
MEGF8,MEGF8
MEGF9,MEGF9
EGFR,EGFR
EGR1,EGR1
EGR2,EGR2
EGR3,EGR3
EGR4,EGR4
EHHADH,EHHADH
